name,clade,class
BEL30-I_DR,BEL,LTR Retrotransposon
BEL30-LTR_DR,BEL,LTR Retrotransposon
BEL31-I_DR,BEL,LTR Retrotransposon
BEL31-LTR_DR,BEL,LTR Retrotransposon
BEL32-I_DR,BEL,LTR Retrotransposon
BEL32-LTR_DR,BEL,LTR Retrotransposon
BEL33-I_DR,BEL,LTR Retrotransposon
BEL33-LTR_DR,BEL,LTR Retrotransposon
BEL34-I_DR,BEL,LTR Retrotransposon
BEL34-LTR_DR,BEL,LTR Retrotransposon
BEL35-I_DR,BEL,LTR Retrotransposon
BEL35-LTR_DR,BEL,LTR Retrotransposon
BEL36-I_DR,BEL,LTR Retrotransposon
BEL36-LTR_DR,BEL,LTR Retrotransposon
BEL4-I_DR,BEL,LTR Retrotransposon
BEL4-LTR_DR,BEL,LTR Retrotransposon
BEL5-I_DR,BEL,LTR Retrotransposon
BEL5-LTR_DR,BEL,LTR Retrotransposon
BEL7-I_DR,BEL,LTR Retrotransposon
BEL7-LTR_DR,BEL,LTR Retrotransposon
BEL8-I_DR,BEL,LTR Retrotransposon
BEL8-LTR_DR,BEL,LTR Retrotransposon
BEL9-I_DR,BEL,LTR Retrotransposon
BEL9-LTR_DR,BEL,LTR Retrotransposon
BELPADRE_I,BEL,LTR Retrotransposon
BELPADRE_LTR,BEL,LTR Retrotransposon
CATCH1I_DR,BEL,LTR Retrotransposon
CATCH1LTR_DR,BEL,LTR Retrotransposon
CATCH2I_DR,BEL,LTR Retrotransposon
CATCH2LTR_DR,BEL,LTR Retrotransposon
CATCH3I_DR,BEL,LTR Retrotransposon
CATCH3LTR_DR,BEL,LTR Retrotransposon
Copia-10B_DR-LTR,Copia,LTR Retrotransposon
Copia-10_DR-LTR,Copia,LTR Retrotransposon
Copia-11B_DR-LTR,Copia,LTR Retrotransposon
Copia-11C_DR-LTR,Copia,LTR Retrotransposon
Copia-11D_DR-LTR,Copia,LTR Retrotransposon
Copia-11E_DR-LTR,Copia,LTR Retrotransposon
Copia-11F_DR-LTR,Copia,LTR Retrotransposon
