"group","n","mean","sd","p.value"
"ERV1",10,2.81030595332923,12.4998394337356,0.495116412748734
"ERV2",3,4.32036951289476,9.92615391587262,0.529591616487617
"ERV3",2,9.91843795513062,21.5057922767831,0.632069767366575
"L1",31,0.00152947225787264,8.67621298111737,0.999223370676091
"SINE",37,4.12162365163377,16.7173673225264,0.142414402846532
