name,class,clade
ATCOPIA56_I,Copia,LTR Retrotransposon
ATCOPIA57LTR,Copia,LTR Retrotransposon
ATCOPIA57_I,Copia,LTR Retrotransposon
ATCOPIA58LTR,Copia,LTR Retrotransposon
ATCOPIA58_I,Copia,LTR Retrotransposon
ATCOPIA59LTR,Copia,LTR Retrotransposon
ATCOPIA59_I,Copia,LTR Retrotransposon
ATCOPIA5I,Copia,LTR Retrotransposon
ATCOPIA5LTR,Copia,LTR Retrotransposon
ATCOPIA60LTR,Copia,LTR Retrotransposon
ATCOPIA60_I,Copia,LTR Retrotransposon
ATCOPIA61LTR,Copia,LTR Retrotransposon
ATCOPIA61_I,Copia,LTR Retrotransposon
ATCOPIA62LTR,Copia,LTR Retrotransposon
ATCOPIA62_I,Copia,LTR Retrotransposon
ATCOPIA63LTR,Copia,LTR Retrotransposon
ATCOPIA63_I,Copia,LTR Retrotransposon
ATCOPIA64LTR,Copia,LTR Retrotransposon
ATCOPIA64_I,Copia,LTR Retrotransposon
ATCOPIA65ALTR,Copia,LTR Retrotransposon
ATCOPIA65A_I,Copia,LTR Retrotransposon
ATCOPIA65LTR,Copia,LTR Retrotransposon
ATCOPIA65_I,Copia,LTR Retrotransposon
ATCOPIA66LTR,Copia,LTR Retrotransposon
ATCOPIA66_I,Copia,LTR Retrotransposon
ATCOPIA67LTR,Copia,LTR Retrotransposon
ATCOPIA67_I,Copia,LTR Retrotransposon
ATCOPIA68B_I,Copia,LTR Retrotransposon
ATCOPIA68B_LTR,Copia,LTR Retrotransposon
ATCOPIA68LTR,Copia,LTR Retrotransposon
ATCOPIA68_I,Copia,LTR Retrotransposon
ATCOPIA69A_I,Copia,LTR Retrotransposon
ATCOPIA69A_LTR,Copia,LTR Retrotransposon
ATCOPIA69B_I,Copia,LTR Retrotransposon
ATCOPIA69B_LTR,Copia,LTR Retrotransposon
ATCOPIA69LTR,Copia,LTR Retrotransposon
ATCOPIA69_I,Copia,LTR Retrotransposon
ATCOPIA6I,Copia,LTR Retrotransposon
ATCOPIA6LTR,Copia,LTR Retrotransposon
ATCOPIA70LTR,Copia,LTR Retrotransposon
ATCOPIA70_I,Copia,LTR Retrotransposon
ATCOPIA71LTR,Copia,LTR Retrotransposon
ATCOPIA71_I,Copia,LTR Retrotransposon
ATCOPIA72LTR,Copia,LTR Retrotransposon
ATCOPIA72_I,Copia,LTR Retrotransposon
ATCOPIA73LTR,Copia,LTR Retrotransposon
ATCOPIA73_I,Copia,LTR Retrotransposon
ATCOPIA74LTR,Copia,LTR Retrotransposon
ATCOPIA74_I,Copia,LTR Retrotransposon
ATCOPIA75LTR,Copia,LTR Retrotransposon
ATCOPIA75_I,Copia,LTR Retrotransposon
ATCOPIA76LTR,Copia,LTR Retrotransposon
ATCOPIA76_I,Copia,LTR Retrotransposon
ATCOPIA77LTR,Copia,LTR Retrotransposon
ATCOPIA77_I,Copia,LTR Retrotransposon
ATCOPIA78LTR,Copia,LTR Retrotransposon
ATCOPIA78_I,Copia,LTR Retrotransposon
ATCOPIA79B_I,Copia,LTR Retrotransposon
ATCOPIA79B_LTR,Copia,LTR Retrotransposon
ATCOPIA79LTR,Copia,LTR Retrotransposon
ATCOPIA79_I,Copia,LTR Retrotransposon
ATCOPIA7I,Copia,LTR Retrotransposon
ATCOPIA7LTR,Copia,LTR Retrotransposon
ATCOPIA80LTR,Copia,LTR Retrotransposon
ATCOPIA80_I,Copia,LTR Retrotransposon
ATCOPIA81LTR,Copia,LTR Retrotransposon
ATCOPIA81_I,Copia,LTR Retrotransposon
ATCOPIA82LTR,Copia,LTR Retrotransposon
ATCOPIA82_I,Copia,LTR Retrotransposon
ATCOPIA83LTR,Copia,LTR Retrotransposon
ATCOPIA83_I,Copia,LTR Retrotransposon
ATCOPIA84LTR,Copia,LTR Retrotransposon
ATCOPIA84_I,Copia,LTR Retrotransposon
ATCOPIA85LTR,Copia,LTR Retrotransposon
ATCOPIA85_I,Copia,LTR Retrotransposon
ATCOPIA86LTR,Copia,LTR Retrotransposon
ATCOPIA86_I,Copia,LTR Retrotransposon
ATCOPIA87LTR,Copia,LTR Retrotransposon
ATCOPIA87_I,Copia,LTR Retrotransposon
ATCOPIA88LTR,Copia,LTR Retrotransposon
ATCOPIA88_I,Copia,LTR Retrotransposon
ATCOPIA89LTR,Copia,LTR Retrotransposon
ATCOPIA89_I,Copia,LTR Retrotransposon
ATCOPIA8AI,Copia,LTR Retrotransposon
ATCOPIA8ALTR,Copia,LTR Retrotransposon
ATCOPIA8BI,Copia,LTR Retrotransposon
ATCOPIA8BLTR,Copia,LTR Retrotransposon
ATCOPIA90LTR,Copia,LTR Retrotransposon
ATCOPIA90_I,Copia,LTR Retrotransposon
ATCOPIA91LTR,Copia,LTR Retrotransposon
ATCOPIA91_I,Copia,LTR Retrotransposon
ATCOPIA92LTR,Copia,LTR Retrotransposon
ATCOPIA92_I,Copia,LTR Retrotransposon
ATCOPIA93LTR,Copia,LTR Retrotransposon
ATCOPIA93_I,Copia,LTR Retrotransposon
ATCOPIA94LTR,Copia,LTR Retrotransposon
ATCOPIA94_I,Copia,LTR Retrotransposon
ATCOPIA95LTR,Copia,LTR Retrotransposon
ATCOPIA95_I,Copia,LTR Retrotransposon
ATCOPIA96LTR,Copia,LTR Retrotransposon
ATCOPIA96_I,Copia,LTR Retrotransposon
ATCOPIA97I,Copia,LTR Retrotransposon
ATCOPIA97LTR,Copia,LTR Retrotransposon
ATCOPIA9I,Copia,LTR Retrotransposon
ATCOPIA9LTR,Copia,LTR Retrotransposon
ATCOPIN_I,other,other
ATCOPIN_LTR,other,other
ATDNA12T3A,other,other
ATDNA1T9A,MuDR,DNA transposon
ATDNA2T9A,MuDR,DNA transposon
ATDNA2T9B,MuDR,DNA transposon
