name,clade,class
Jockey,Jockey,Non-LTR Retrotransposon
JOCKEY2,Jockey,Non-LTR Retrotransposon
LOOPER1_DM,piggyBac,DNA transposon
LTRMDG3_DM,Unknown,LTR Retrotransposon
M4DM,Transib,DNA transposon
MARINER2_DM,Mariner/Tc1,DNA transposon
MAX_I,BEL,LTR Retrotransposon
MAX_LTR,BEL,LTR Retrotransposon
MDG1_I,Gypsy,LTR Retrotransposon
MDG1_LTR,Gypsy,LTR Retrotransposon
MDG3_DM,Gypsy,LTR Retrotransposon
MICROPIA_I,Unknown,LTR Retrotransposon
MICROPIA_LTR,Unknown,LTR Retrotransposon
NOMAD_I,Gypsy,LTR Retrotransposon
NOMAD_LTR,Gypsy,LTR Retrotransposon
POGO,Mariner/Tc1,DNA transposon
POGON1,Mariner/Tc1,DNA transposon
PROTOP,P,DNA transposon
PROTOP_A,P,DNA transposon
PROTOP_B,P,DNA transposon
QUASIMODO2-I_DM,Gypsy,LTR Retrotransposon
QUASIMODO2-LTR_DM,Gypsy,LTR Retrotransposon
QUASIMODO_I,Gypsy,LTR Retrotransposon
QUASIMODO_LTR,Gypsy,LTR Retrotransposon
R1-2_DM,Unknown,Non-LTR Retrotransposon
R1_DM,Unknown,Non-LTR Retrotransposon
R2_DM,R2,Non-LTR Retrotransposon
ROOA_I,BEL,LTR Retrotransposon
ROOA_LTR,BEL,LTR Retrotransposon
ROO_I,BEL,LTR Retrotransposon
ROO_LTR,BEL,LTR Retrotransposon
ROVER_DM,Gypsy,LTR Retrotransposon
S2_DM,Mariner/Tc1,DNA transposon
STALKER2_I,Gypsy,LTR Retrotransposon
STALKER2_LTR,Gypsy,LTR Retrotransposon
STALKER3_LTR,Gypsy,LTR Retrotransposon
STALKER4_I,Gypsy,LTR Retrotransposon
STALKER4_LTR,Gypsy,LTR Retrotransposon
S_DM,Mariner/Tc1,DNA transposon
TABOR_I,Gypsy,LTR Retrotransposon
TABOR_LTR,Gypsy,LTR Retrotransposon
TAHRE,Jockey,Non-LTR Retrotransposon
TART-A,Jockey,Non-LTR Retrotransposon
TART_B1,Jockey,Non-LTR Retrotransposon
TC1-2_DM,Mariner/Tc1,DNA transposon
TC1_DM,Mariner/Tc1,DNA transposon
TIRANT_I,Gypsy,LTR Retrotransposon
TIRANT_LTR,Unknown,LTR Retrotransposon
TLD1,Unknown,Non-LTR Retrotransposon
TLD2,Unknown,Non-LTR Retrotransposon
TLD3,Unknown,Non-LTR Retrotransposon
Transib-N1_DM,Transib,DNA transposon
Transib1,Transib,DNA transposon
TRANSIB2,Transib,DNA transposon
TRANSIB3,Transib,DNA transposon
Transib4,Transib,DNA transposon
Transib5,Transib,DNA transposon
TRANSPAC_I,Gypsy,LTR Retrotransposon
TRANSPAC_LTR,Unknown,LTR Retrotransposon
ZAM_I,Gypsy,LTR Retrotransposon
ZAM_LTR,Gypsy,LTR Retrotransposon
